rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
6029,0x19f770dc215e0f5a5dffce1015305d896a96ff75,26582.75,2903.29,1612,False
6030,0xe4ca3841ade21e05cbd5786dd5feea5d65c01383,26582.57,11314.54,2086,False
6031,0x3d9e48c13480656da3f29dff3dd0db495b3d5421,26571.12,26605.46,33,False
6032,0x8b404b3d7ef227378c95d4a9c60d1362a7d78ab4,26568.64,17144.99,268,False
6033,0x12e2c9a85f213f10d5d45517ddd18ed11138dcc1,26564.33,10668.4,57,False
6034,0x6297b93ea37ff92a57fd636410f3b71ebf74517e,26562.52,21458.61,930,False
6035,0x0a2dd302e2ab8bc8fd8c9130a9f2c98be127e614,26559.0,0,1,True
6036,0xfeaa9f64cb54169a095004ef970fe06c0536a226,26556.97,9266.32,37,False
6037,0x3d9deab3589357c6198bf8c6269b4c58da687d9e,26554.37,27927.84,32,False
6038,0x414b394fbf7a06d3efc58934bd1602ff08c80d3f,26550.94,12493.71,269,False
6039,0xf0888ae82b4be80c06bae0653a2ad4f0a26e00b7,26549.31,17607.12,57,False
6040,0xc9d2f0df68a277a9caa23902a7b9768c613c090f,26543.34,32652.76,238,False
6041,0x1798b39ce96371b6cfc6c68d107c1e4c2bad1ce9,26518.43,225.38,1433,False
6042,0x50e41173b24d7b62cbdce01c1ffd255108d10ddd,26510.3,5076.27,37,False
6043,0xbf85c145845c2ddef76e61325ec8a26e90eb2016,26502.84,13265.36,30,False
6044,0x9b44b6532c6952b8b86900ccb067342ddc1421c2,26500.14,12941.29,25,False
6045,0x069719dc9d6abbce7cacdc3f60b1d28dfd3128af,26494.09,9230.59,50,False
6046,0xd27cc742d023d06ef633a4c880cf1ff1836ec081,26484.04,11572.93,74,False
6047,0x3f87105d0b99bbc4d59e0997ad6902c5e04c0901,26469.18,18353.95,42,False
6048,0xf5941704f300af7b703b7fca9cdf12591d8abfc1,26455.06,40178.88,974,False
6049,0x2f435ad8e6d3475baf1bce17231eca48ddcb8be2,26448.47,11881.01,36,False
6050,0x4059c38e4c362b8051b20be82c319d4796eb23da,26442.84,6388.4,138,False
